2026-08-08T09:53:48.767+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 1.8257, "check": "check_annualization_commensurability", "detail": "Trial-Index 20: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 1.826 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "FlashCrashReversalStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.767+00:00"}
2026-08-08T09:53:48.767+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0063, "check": "check_objective_branch_coverage", "detail": "Nur 1/160 Trials (0.62%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "FlashCrashReversalStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.767+00:00"}
2026-08-08T09:53:48.767+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["divergence", "param_pen", "turnover", "fold_dispersion"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=1.638037): ['divergence', 'param_pen', 'turnover', 'fold_dispersion'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "VolatilityBreakoutPumpStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.767+00:00"}
2026-08-08T09:53:48.767+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 2.3263, "check": "check_annualization_commensurability", "detail": "Trial-Index 2: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 2.326 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "VolatilityBreakoutPumpStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.767+00:00"}
2026-08-08T09:53:48.767+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/100 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "VolatilityBreakoutPumpStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.767+00:00"}
2026-08-08T09:53:48.767+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["divergence", "param_pen", "turnover", "fold_dispersion"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=1.711796): ['divergence', 'param_pen', 'turnover', 'fold_dispersion'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "ComboTrendVwapStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.767+00:00"}
2026-08-08T09:53:48.767+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 2.5778, "check": "check_annualization_commensurability", "detail": "Trial-Index 13: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 2.578 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "ComboTrendVwapStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.767+00:00"}
2026-08-08T09:53:48.767+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/247 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "ComboTrendVwapStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.767+00:00"}
2026-08-08T09:53:48.767+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["turnover"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=0.630040): ['turnover'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "VwapExhaustionStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.767+00:00"}
2026-08-08T09:53:48.767+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": {"median_available": 0.006519, "median_missing": 0.013732, "n_available": 71, "n_missing": 22, "p_one_sided": 3.4185666519803704e-09, "z": 5.7949}, "check": "check_selection_statistic_economic_bias", "detail": "Median-OOS-Return der Kohorte OHNE Selektionsstatistik (0.0137, n=22) ist signifikant GRÖSSER als der der Kohorte MIT Statistik (0.0065, n=71) — z=5.7949, p=3.42e-09 < 0.01. Die fehlende Statistik ist nicht MCAR: die Selektion verwirft bevorzugt die profitable Kohorte aus einem numerischen, nicht ökonomischen Grund (Pitfall #306).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "p >= 0.01 (Mann-Whitney, H1: Kohorte-ohne-Statistik > Kohorte-mit-Statistik)", "run_id": "6dbc228c_20260807T205802986791", "scope": "VwapExhaustionStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.767+00:00"}
2026-08-08T09:53:48.767+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": {"max_term_std": 0.386875, "reward_std_feasible": 0.63004, "reward_std_total": 0.63004}, "check": "check_reward_dynamic_range", "detail": "reward_std_feasible=0.6300 < 4.0 * max_term_std=0.3869", "event_type": "INVARIANT_CHECK_FAILED", "expected": ">= 4.0 * max(term_std) UND >= 0.05 UND total/feasible <= 3.0", "run_id": "6dbc228c_20260807T205802986791", "scope": "VwapExhaustionStrategy/WBD.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T09:53:48.767+00:00"}
