=== DOWNLOAD SUMMARY REPORT ===
Symbol          | Status       | Intervals Used            | Total Rows | Date Range
---------------------------------------------------------------------------------------------------------
CPRT.ETORO      | Up-to-date   | -                         | 2009       | 2022-04-19 bis 2026-05-21
WDAY.ETORO      | Up-to-date   | -                         | 5016       | 2022-04-19 bis 2026-05-21
FISV.ETORO      | Up-to-date   | -                         | 3009       | 2022-04-19 bis 2026-05-21
GOOGL.ETORO     | Updated/New  | -                         | 2076       | 2022-04-19 bis 2026-05-21
VLO.ETORO       | Updated/New  | -                         | 2011       | 2022-04-18 bis 2026-05-21
ESLT.ETORO      | Up-to-date   | -                         | 1045       | 2025-11-16 bis 2026-05-20
AG.ETORO        | Up-to-date   | -                         | 2059       | 2022-04-05 bis 2026-05-20
WBD.ETORO       | Updated/New  | -                         | 5012       | 2022-04-18 bis 2026-05-21
CAT.ETORO       | Updated/New  | -                         | 2070       | 2022-04-20 bis 2026-05-21
NOW.ETORO       | Updated/New  | -                         | 2074       | 2022-04-19 bis 2026-05-21
INSW.ETORO      | Up-to-date   | -                         | 1778       | 2023-11-26 bis 2026-05-20
COHR.ETORO      | Up-to-date   | -                         | 2059       | 2022-04-05 bis 2026-05-20
CMG.ETORO       | Updated/New  | -                         | 2026       | 2022-04-19 bis 2026-05-21
LRCX.ETORO      | Updated/New  | -                         | 2047       | 2022-04-19 bis 2026-05-21
DUOL.ETORO      | Updated/New  | -                         | 2021       | 2022-04-18 bis 2026-05-21
TTD.ETORO       | Updated/New  | -                         | 2030       | 2022-04-19 bis 2026-05-21
MTZ.ETORO       | Up-to-date   | -                         | 2059       | 2022-04-05 bis 2026-05-20
FICO.ETORO      | Updated/New  | -                         | 2018       | 2022-04-19 bis 2026-05-21
TTMI.ETORO      | Up-to-date   | -                         | 1774       | 2023-11-26 bis 2026-05-20
LULU.ETORO      | Updated/New  | -                         | 2022       | 2022-04-19 bis 2026-05-21
MU.ETORO        | Updated/New  | -                         | 2080       | 2022-04-20 bis 2026-05-21
HAL.ETORO       | Updated/New  | -                         | 2054       | 2022-04-19 bis 2026-05-21
SE.ETORO        | Up-to-date   | -                         | 2059       | 2022-04-05 bis 2026-05-20
JNJ.ETORO       | Updated/New  | -                         | 2034       | 2022-04-20 bis 2026-05-21
SQM.ETORO       | Up-to-date   | -                         | 2059       | 2022-04-05 bis 2026-05-20
MNDY.ETORO      | Up-to-date   | -                         | 2059       | 2022-04-04 bis 2026-05-20
GSAT.ETORO      | Up-to-date   | -                         | 2059       | 2022-04-05 bis 2026-05-20
VRT.ETORO       | Up-to-date   | -                         | 2059       | 2022-04-07 bis 2026-05-20
CIEN.ETORO      | Up-to-date   | -                         | 2059       | 2022-04-05 bis 2026-05-20
POWL.ETORO      | Up-to-date   | -                         | 1778       | 2023-11-26 bis 2026-05-20
CRM.ETORO       | Updated/New  | -                         | 2054       | 2022-04-19 bis 2026-05-21
WIX.ETORO       | Up-to-date   | -                         | 2059       | 2022-04-07 bis 2026-05-20
WDC.ETORO       | Updated/New  | -                         | 2066       | 2022-04-20 bis 2026-05-21
SNAP.ETORO      | Updated/New  | -                         | 2021       | 2022-04-19 bis 2026-05-21
PBR.ETORO       | Up-to-date   | -                         | 2059       | 2022-04-07 bis 2026-05-20
TEAM.ETORO      | Updated/New  | -                         | 3022       | 2022-04-19 bis 2026-05-21
E.ETORO         | Up-to-date   | -                         | 2059       | 2022-04-04 bis 2026-05-20
PINS.ETORO      | Up-to-date   | -                         | 2059       | 2022-04-05 bis 2026-05-20
GLW.ETORO       | Updated/New  | -                         | 2073       | 2022-04-19 bis 2026-05-21
TSEM.ETORO      | Up-to-date   | -                         | 2059       | 2022-04-05 bis 2026-05-20
STX.US.ETORO    | Updated/New  | -                         | 2055       | 2022-04-19 bis 2026-05-21
EEFT.ETORO      | Up-to-date   | -                         | 2059       | 2022-04-05 bis 2026-05-20
ACN.ETORO       | Updated/New  | -                         | 2013       | 2022-04-19 bis 2026-05-21
GTLB.ETORO      | Up-to-date   | -                         | 2059       | 2022-04-04 bis 2026-05-20
ADBE.ETORO      | Updated/New  | -                         | 2070       | 2022-04-20 bis 2026-05-21
CHTR.ETORO      | Up-to-date   | -                         | 2008       | 2022-04-19 bis 2026-05-21
DOCU.ETORO      | Up-to-date   | -                         | 2059       | 2022-04-05 bis 2026-05-20
HUBS.ETORO      | Up-to-date   | -                         | 2059       | 2022-04-05 bis 2026-05-20
ZS.ETORO        | Updated/New  | -                         | 7042       | 2022-04-19 bis 2026-05-21
