=== DOWNLOAD SUMMARY REPORT ===
Symbol          | Status       | Intervals Used            | Total Rows | Date Range
---------------------------------------------------------------------------------------------------------
NATGAS.ETORO    | Updated/New  | OneHour                   | 189        | 2025-11-18 to 2026-05-18
USDZAR.ETORO    | Updated/New  | OneHour                   | 344        | 2025-11-18 to 2026-05-18
USDTRY.ETORO    | Updated/New  | OneHour                   | 170        | 2025-11-18 to 2026-05-18
CAT.ETORO       | Updated/New  | OneHour                   | 158        | 2025-11-18 to 2026-05-18
JNJ.ETORO       | Updated/New  | OneHour                   | 157        | 2025-11-18 to 2026-05-18
PBR.ETORO       | Updated/New  | OneHour                   | 129        | 2025-11-18 to 2026-05-18
TSLA.ETORO      | Updated/New  | OneHour                   | 208        | 2025-11-18 to 2026-05-18
ADBE.ETORO      | Updated/New  | OneHour                   | 158        | 2025-11-18 to 2026-05-18
WDC.ETORO       | Updated/New  | OneHour                   | 158        | 2025-11-18 to 2026-05-18
MU.ETORO        | Updated/New  | OneHour                   | 158        | 2025-11-18 to 2026-05-18
NVDA.ETORO      | Updated/New  | OneHour                   | 247        | 2025-11-18 to 2026-05-18
WIX.ETORO       | Updated/New  | OneHour                   | 129        | 2025-11-18 to 2026-05-18
PINS.ETORO      | Updated/New  | OneHour                   | 129        | 2025-11-18 to 2026-05-18
ROP.ZU.ETORO    | Updated/New  | OneHour                   | 133        | 2025-11-18 to 2026-05-18
ACN.ETORO       | Updated/New  | OneHour                   | 158        | 2025-11-18 to 2026-05-18
VLO.ETORO       | Updated/New  | OneHour                   | 155        | 2025-11-18 to 2026-05-18
HAL.ETORO       | Updated/New  | OneHour                   | 158        | 2025-11-18 to 2026-05-18
GLW.ETORO       | Updated/New  | OneHour                   | 158        | 2025-11-18 to 2026-05-18
CHTR.ETORO      | Updated/New  | OneHour                   | 158        | 2025-11-18 to 2026-05-18
CRM.ETORO       | Updated/New  | OneHour                   | 158        | 2025-11-18 to 2026-05-18
FISV.ETORO      | Updated/New  | OneHour                   | 158        | 2025-11-18 to 2026-05-18
MTZ.ETORO       | Updated/New  | OneHour                   | 129        | 2025-11-18 to 2026-05-18
LRCX.ETORO      | Updated/New  | OneHour                   | 158        | 2025-11-18 to 2026-05-18
CMG.ETORO       | Updated/New  | OneHour                   | 158        | 2025-11-18 to 2026-05-18
SNAP.ETORO      | Updated/New  | OneHour                   | 158        | 2025-11-18 to 2026-05-18
