2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/247 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "ComboTrendVwapStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["param_pen", "turnover"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=1.943870): ['param_pen', 'turnover'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "VwapExhaustionStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": {"median_available": -0.020801, "median_missing": 0.017433, "n_available": 84, "n_missing": 15, "p_one_sided": 3.007063709148383e-09, "z": 5.8164}, "check": "check_selection_statistic_economic_bias", "detail": "Median-OOS-Return der Kohorte OHNE Selektionsstatistik (0.0174, n=15) ist signifikant GRÖSSER als der der Kohorte MIT Statistik (-0.0208, n=84) — z=5.8164, p=3.01e-09 < 0.01. Die fehlende Statistik ist nicht MCAR: die Selektion verwirft bevorzugt die profitable Kohorte aus einem numerischen, nicht ökonomischen Grund (Pitfall #306).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "p >= 0.01 (Mann-Whitney, H1: Kohorte-ohne-Statistik > Kohorte-mit-Statistik)", "run_id": "6dbc228c_20260807T205802986791", "scope": "VwapExhaustionStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 2.1095, "check": "check_annualization_commensurability", "detail": "Trial-Index 95: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 2.11 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "VwapExhaustionStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.02, "check": "check_objective_branch_coverage", "detail": "Nur 2/100 Trials (2.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "VwapExhaustionStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["param_pen", "turnover"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=1.992801): ['param_pen', 'turnover'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "TrendPullbackStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": {"median_available": -0.008108, "median_missing": 0.036658, "n_available": 106, "n_missing": 15, "p_one_sided": 2.0146373458374e-10, "z": 6.2529}, "check": "check_selection_statistic_economic_bias", "detail": "Median-OOS-Return der Kohorte OHNE Selektionsstatistik (0.0367, n=15) ist signifikant GRÖSSER als der der Kohorte MIT Statistik (-0.0081, n=106) — z=6.2529, p=2.01e-10 < 0.01. Die fehlende Statistik ist nicht MCAR: die Selektion verwirft bevorzugt die profitable Kohorte aus einem numerischen, nicht ökonomischen Grund (Pitfall #306).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "p >= 0.01 (Mann-Whitney, H1: Kohorte-ohne-Statistik > Kohorte-mit-Statistik)", "run_id": "6dbc228c_20260807T205802986791", "scope": "TrendPullbackStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 1.2443, "check": "check_annualization_commensurability", "detail": "Trial-Index 99: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 1.244 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "TrendPullbackStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/123 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "TrendPullbackStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["divergence", "param_pen", "turnover"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=3.697315): ['divergence', 'param_pen', 'turnover'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "AdxAtrMomentumStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 1.2562, "check": "check_annualization_commensurability", "detail": "Trial-Index 129: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 1.256 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "AdxAtrMomentumStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
