2026-08-31T15:45:54.082+00:00 | ℹ️  INFO     | optimizer                      | [LogManager] Logger 'optimizer' initialisiert. Log-Datei: /home/minisforum/etoro_nautilus/logs/optimizer_78e439c6_20260831T154554081962.log (kein Rotationslimit (pro-Lauf-Datei, Issue #740))
2026-08-31T15:45:54.083+00:00 | ℹ️  INFO     | optimizer                      | [JSON_EVENT] {"entry_count": 0, "event_type": "CHAMPION_STORE_SCAN", "keys": [], "mtime_utc": "2026-08-31T15:45:48.996949+00:00", "run_id": "78e439c6_20260831T154554081962", "store_found": true, "store_path": "/home/minisforum/etoro_nautilus/data/optimizer/champions", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-31T15:45:54.083+00:00"}
2026-08-31T15:45:54.843+00:00 | ⚠️  WARNING  | optimizer                      | [JSON_EVENT] {"detail": "backtest.json: alle Finanzierungs- UND Slippage-Saetze sind 0.0 fuer jede Asset-Klasse -- die 'full_realism'-Kostenstress-Stufe ist ein No-Op, jede Ertragsaussage dieses Laufs ist ohne Overnight-Finanzierung, ohne Slippage, ohne Market Impact (#1010/#1162).", "event_type": "COST_MODEL_ZERO_REALISM", "overnight_financing_bps_per_day_by_asset_class": {"COMMODITY": 0.0, "CRYPTO": 0.0, "DEFAULT": 0.0, "EQUITY": 0.0, "FOREX": 0.0}, "run_id": "78e439c6_20260831T154554081962", "slippage_bps_by_asset_class": {"COMMODITY": 0.0, "CRYPTO": 0.0, "DEFAULT": 0.0, "EQUITY": 0.0, "FOREX": 0.0}, "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-31T15:45:54.843+00:00"}
2026-08-31T15:45:54.881+00:00 | ℹ️  INFO     | optimizer                      | [#624] Holdout-Geometrie: required_span_days=426 (is=180 + embargo=21 + 4×oos=45 + holdout=45); min_span_days=1085.6, median_span_days=1085.6 (je Symbol, latest-earliest), n_symbols_below_required=0 von 1. 45-d-Holdout ⇒ T≈202 Bars ⇒ PSR(0)≈0.946 < 0.95 (T≥211 nötig). Promotionsschwelle DSR/PSR wird EXPLIZIT und dokumentiert getragen (siehe manuals/strategie_optimierung.md §Holdout-Signifikanz).
2026-08-31T15:45:54.884+00:00 | ℹ️  INFO     | optimizer                      | [JSON_EVENT] {"actual": {"n_ticks_after_session_filter": 290, "n_ticks_raw": 1796}, "check": "check_tick_population", "detail": "Preflight-Probe bestanden.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "n_ticks_after_session_filter > 0 (Probe-Paar vor Phase 1, #1298).", "name": "check_tick_population", "passed": true, "run_id": "78e439c6_20260831T154554081962", "scope": "NVDA.ETORO", "severity": "blocking", "source": "sweep", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-31T15:45:54.884+00:00"}
2026-08-31T15:45:54.893+00:00 | ℹ️  INFO     | optimizer                      | [JSON_EVENT] {"atr_median_bps": 38.096679118113634, "bar_coverage_ratio": 0.06893110727307618, "event_type": "BAR_QUALITY_PROFILE", "frac_bars_single_tick": 1.0, "frac_zero_true_range": 0.007238307349665924, "median_delta_t_s": 3600.0, "n_sample_ticks": 1796, "passed": false, "run_id": "78e439c6_20260831T154554081962", "strategy": null, "study_name": null, "symbol": "NVDA.ETORO", "ticks_per_bar_median": 1.0, "ticks_per_bar_p05": 1.0, "timestamp_utc": "2026-08-31T15:45:54.893+00:00", "window_end": "2026-08-31T15:00:00+00:00", "window_start": "2023-09-11T00:00:00+00:00"}
2026-08-31T15:45:54.893+00:00 | ⚠️  WARNING  | optimizer                      | [JSON_EVENT] {"actual": {"atr_median_bps": 38.096679118113634, "bar_coverage_ratio": 0.06893110727307618, "frac_bars_single_tick": 1.0, "frac_zero_true_range": 0.007238307349665924, "median_delta_t_s": 3600.0, "ticks_per_bar_median": 1.0, "ticks_per_bar_p05": 1.0}, "check": "check_bar_quality", "detail": "BAR_AXIS_NO_INTRABAR_INFORMATION: ticks_per_bar_median=1.000 <= 1; BAR_AXIS_NO_INTRABAR_INFORMATION: frac_bars_single_tick=1.000 > 0.5; frac_high_eq_low=1.000 > 0.2; bar_coverage_ratio=0.069 < 0.6", "event_type": "INVARIANT_STREAM_RESULT", "expected": "Bar-Qualitaets-Preflight (frac_zero_true_range/atr_median_bps/bar_coverage_ratio/median_delta_t_s/ticks_per_bar_median/frac_bars_single_tick) besteht die konfigurierten Schwellen (#807/#1272).", "name": "check_bar_quality", "passed": false, "run_id": "78e439c6_20260831T154554081962", "scope": "NVDA.ETORO", "severity": "blocking", "source": "sweep", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-31T15:45:54.893+00:00"}
2026-08-31T15:45:54.893+00:00 | ⚠️  WARNING  | optimizer                      | [JSON_EVENT] {"atr_median_bps": 38.096679118113634, "bar_coverage_ratio": 0.06893110727307618, "event_type": "REJECT_DATA_DEGENERATE", "frac_bars_single_tick": 1.0, "frac_high_eq_low": 1.0, "frac_identical_consecutive_closes": 0.006685236768802228, "frac_zero_true_range": 0.007238307349665924, "median_delta_t_s": 3600.0, "n_bars": 1796, "n_distinct_closes": 1567, "passed": false, "reason": "BAR_AXIS_NO_INTRABAR_INFORMATION: ticks_per_bar_median=1.000 <= 1; BAR_AXIS_NO_INTRABAR_INFORMATION: frac_bars_single_tick=1.000 > 0.5; frac_high_eq_low=1.000 > 0.2; bar_coverage_ratio=0.069 < 0.6", "run_id": "78e439c6_20260831T154554081962", "severity": "blocking", "strategy": null, "study_name": null, "symbol": "NVDA.ETORO", "ticks_per_bar_median": 1.0, "ticks_per_bar_p05": 1.0, "timestamp_utc": "2026-08-31T15:45:54.893+00:00"}
2026-08-31T15:45:54.893+00:00 | ⚠️  WARNING  | optimizer                      | [#807] NVDA.ETORO: REJECT_DATA_DEGENERATE — Bar-Qualitaet degeneriert (BAR_AXIS_NO_INTRABAR_INFORMATION: ticks_per_bar_median=1.000 <= 1; BAR_AXIS_NO_INTRABAR_INFORMATION: frac_bars_single_tick=1.000 > 0.5; frac_high_eq_low=1.000 > 0.2; bar_coverage_ratio=0.069 < 0.6). Symbol wird VOR Phase 1 fuer ALLE Strategien abgewiesen (0 Studies), statt N unabhaengige Suchraum-Diagnosen zu verbrennen.
2026-08-31T15:45:54.894+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"available_days": 0.0, "delta_days": 426.0, "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "event": "GATE_1_REJECTION", "event_type": "GATE_1_REJECTION", "required_days": 426.0, "run_id": "78e439c6_20260831T154554081962", "strategy": null, "study_name": null, "symbol": "INTC.ETORO", "timestamp_utc": "2026-08-31T15:45:54.894+00:00"}
2026-08-31T15:45:54.894+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"available_days": 0.0, "delta_days": 426.0, "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "event": "GATE_1_REJECTION", "event_type": "GATE_1_REJECTION", "required_days": 426.0, "run_id": "78e439c6_20260831T154554081962", "strategy": null, "study_name": null, "symbol": "MRK.ETORO", "timestamp_utc": "2026-08-31T15:45:54.894+00:00"}
