2026-08-13T05:55:13.725+00:00 | ℹ️  INFO     | optimizer                      | [LogManager] Logger 'optimizer' initialisiert. Log-Datei: /home/user/etoro_nautilus/logs/optimizer_815455db_20260813T055513723295.log (kein Rotationslimit (pro-Lauf-Datei, Issue #740))
2026-08-13T05:55:14.619+00:00 | ℹ️  INFO     | optimizer                      | [#624] Holdout-Geometrie: required_span_days=426 (is=180 + embargo=21 + 4×oos=45 + holdout=45); min_span_days=1109.2, median_span_days=1109.2 (je Symbol, latest-earliest), n_symbols_below_required=0 von 1. 45-d-Holdout ⇒ T≈202 Bars ⇒ PSR(0)≈0.946 < 0.95 (T≥211 nötig). Promotionsschwelle DSR/PSR wird EXPLIZIT und dokumentiert getragen (siehe manuals/strategie_optimierung.md §Holdout-Signifikanz).
2026-08-13T05:55:14.623+00:00 | ℹ️  INFO     | optimizer                      | [JSON_EVENT] {"budget_bytes": 214748364800, "event_type": "DISK_BUDGET_PREFLIGHT", "expected_bytes": 58200000, "expected_trials": 1940, "free_bytes": 782781128704, "run_id": "815455db_20260813T055513723295", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-13T05:55:14.623+00:00"}
2026-08-13T05:55:14.637+00:00 | ℹ️  INFO     | optimizer                      | [JSON_EVENT] {"backtest_ms_mean": 7575.0, "backtest_share": 0.85, "event_type": "WALLCLOCK_BUDGET_PREFLIGHT", "expected_trials": 1940, "expected_wallclock_h": 1.0, "parallelism_degree": 6.0, "run_id": "815455db_20260813T055513723295", "scheduling_efficiency": 0.8, "strategy": null, "study_name": null, "sweep_max_wallclock_h": 72, "symbol": null, "timestamp_utc": "2026-08-13T05:55:14.637+00:00"}
2026-08-13T05:55:18.662+00:00 | ⚠️  WARNING  | optimizer                      | [MeanReversionStrategy/TSLA.ETORO] [#565] MeanReversionStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-13T05:55:18.829+00:00 | ⚠️  WARNING  | optimizer                      | [DynamicBreakoutStrategy/TSLA.ETORO] [#565] DynamicBreakoutStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-13T05:55:18.875+00:00 | ⚠️  WARNING  | optimizer                      | [SmaCrossoverStrategy/TSLA.ETORO] [#565] SmaCrossoverStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-13T05:55:18.878+00:00 | ⚠️  WARNING  | optimizer                      | [VolatilityBreakoutPumpStrategy/TSLA.ETORO] [#565] VolatilityBreakoutPumpStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-13T05:55:18.893+00:00 | ⚠️  WARNING  | optimizer                      | [ComboTrendVwapStrategy/TSLA.ETORO] [#565] ComboTrendVwapStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-13T05:55:18.917+00:00 | ⚠️  WARNING  | optimizer                      | [FlashCrashReversalStrategy/TSLA.ETORO] [#565] FlashCrashReversalStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-13T05:55:28.614+00:00 | ℹ️  INFO     | optimizer                      | [SmaCrossoverStrategy/TSLA.ETORO] [JSON_EVENT] {"backtest_ms": 8292, "data_window_days": 381.0, "data_window_end": "2026-06-29T00:00:00+00:00", "data_window_start": "2025-06-13T00:00:00+00:00", "event_type": "optimizer_trial_completed", "fill_ts_max": 1782594000000000000, "hit_trade_cap": false, "is_rejection_detail": "NONE", "is_sortino_median": 0.0, "is_total_trades": 78, "oos_coherence_violation": false, "oos_coverage_gap_days": 0.0, "oos_covered": true, "oos_eligible": true, "oos_evaluated": true, "oos_expectancy": 0.0007665826267912291, "oos_gate_deltas": {"oos_max_drawdown": 0.2680185746153067, "oos_min_excess_return": 0.17434413757692746, "oos_min_expectancy": 0.0006915826267912291, "oos_min_profit_factor": 0.07753605699117339, "oos_min_profitable_folds_frac": 0.0, "oos_min_psr": 0.13594999454440848, "oos_min_sortino": 1.0625265934722663, "oos_min_total_return": 0.020770323281670278, "oos_min_trades": 156.0, "oos_min_win_rate": 0.2524390243902439}, "oos_profit_factor": 1.1775360569911735, "oos_rejection_reasons": [], "oos_sortino": 1.4925265934722662, "oos_total_return": 0.020770323281670278, "oos_total_trades": 164, "oos_win_rate": 0.4024390243902439, "oos_window_start_ns": 1767139200000000000, "outcome": "evaluable", "per_fold_oos_sortino": [], "per_fold_oos_sortino_period": [0.32377386091482874, 0.17745087913602742, 0.0013419942997824658, -0.026726690939787644], "rejection_reason": "none", "reward": 0.5945801645983095, "reward_terms": {"base": 0.6309090243292672, "branch": "per_symbol", "dd_penalty": 0.0, "divergence": 0.0, "divergence_at_cap": false, "floor_clamped": false, "fold_dispersion": 0.02752737589504128, "gate_distance_penalty": 0.0, "param_pen": 0.0, "tie_breaker": 0.0010385161640835139, "time_box_penalty": 0.0, "turnover": 0.00984}, "run_id": "815455db_20260813T055513723295", "strategy": "SmaCrossoverStrategy", "study_name": "study_SmaCrossoverStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-13T05:55:28.613+00:00", "trial_number": 0}
