2026-08-06T11:37:34.095+00:00 | ℹ️  INFO     | optimizer                      | [LogManager] Logger 'optimizer' initialisiert. Log-Datei: /home/user/etoro_nautilus/logs/optimizer_be341d57_20260806T113734093100.log (kein Rotationslimit (pro-Lauf-Datei, Issue #740))
2026-08-06T11:37:34.523+00:00 | ⚠️  WARNING  | optimizer                      | [#531] 3 Symbol(e) unter der Walk-Forward-Schwelle (456 Tage = 426 + Puffer 30) — synchroner Pre-Sweep-Backfill: ['BETA.ETORO', 'ESLT.ETORO', 'NTSK.ETORO']
2026-08-06T11:37:34.539+00:00 | ℹ️  INFO     | optimizer                      | [#531] Pre-Sweep-Backfill abgeschlossen: 0/3 Symbol(e) nachgeladen.
2026-08-06T11:37:34.587+00:00 | ℹ️  INFO     | optimizer                      | [#624] Holdout-Geometrie: required_span_days=426 (is=180 + embargo=21 + 4×oos=45 + holdout=45); min_span_days=256.8, median_span_days=1099.8 (je Symbol, latest-earliest), n_symbols_below_required=3 von 146. 45-d-Holdout ⇒ T≈202 Bars ⇒ PSR(0)≈0.946 < 0.95 (T≥211 nötig). Promotionsschwelle DSR/PSR wird EXPLIZIT und dokumentiert getragen (siehe manuals/strategie_optimierung.md §Holdout-Signifikanz).
2026-08-06T11:37:35.346+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.346+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 272.79, "required_days": 426.0, "delta_days": 153.21}
2026-08-06T11:37:35.347+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.347+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 256.79, "required_days": 426.0, "delta_days": 169.21}
2026-08-06T11:37:35.347+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.347+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 319.79, "required_days": 426.0, "delta_days": 106.21}
2026-08-06T11:37:35.348+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.348+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 272.79, "required_days": 426.0, "delta_days": 153.21}
2026-08-06T11:37:35.348+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.348+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 256.79, "required_days": 426.0, "delta_days": 169.21}
2026-08-06T11:37:35.348+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.348+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 319.79, "required_days": 426.0, "delta_days": 106.21}
2026-08-06T11:37:35.349+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.349+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 272.79, "required_days": 426.0, "delta_days": 153.21}
2026-08-06T11:37:35.350+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.350+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 256.79, "required_days": 426.0, "delta_days": 169.21}
2026-08-06T11:37:35.350+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.350+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 319.79, "required_days": 426.0, "delta_days": 106.21}
2026-08-06T11:37:35.350+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.350+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 272.79, "required_days": 426.0, "delta_days": 153.21}
