2026-08-16T09:08:24.053+00:00 | ℹ️  INFO     | optimizer                      | [LogManager] Logger 'optimizer' initialisiert. Log-Datei: /home/user/etoro_nautilus/logs/optimizer_c110fe38_20260816T090824052985.log (kein Rotationslimit (pro-Lauf-Datei, Issue #740))
2026-08-16T09:08:24.555+00:00 | ℹ️  INFO     | optimizer                      | [#624] Holdout-Geometrie: required_span_days=426 (is=180 + embargo=21 + 4×oos=45 + holdout=45); min_span_days=1107.8, median_span_days=1107.8 (je Symbol, latest-earliest), n_symbols_below_required=0 von 1. 45-d-Holdout ⇒ T≈202 Bars ⇒ PSR(0)≈0.946 < 0.95 (T≥211 nötig). Promotionsschwelle DSR/PSR wird EXPLIZIT und dokumentiert getragen (siehe manuals/strategie_optimierung.md §Holdout-Signifikanz).
2026-08-16T09:08:24.557+00:00 | ℹ️  INFO     | optimizer                      | [JSON_EVENT] {"budget_bytes": 214748364800, "event_type": "DISK_BUDGET_PREFLIGHT", "expected_bytes": 58200000, "expected_trials": 1940, "free_bytes": 844097196032, "run_id": "c110fe38_20260816T090824052985", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-16T09:08:24.557+00:00"}
2026-08-16T09:08:24.560+00:00 | ℹ️  INFO     | optimizer                      | [JSON_EVENT] {"backtest_ms_mean": 4550.595943837753, "backtest_share": 0.85, "event_type": "WALLCLOCK_BUDGET_PREFLIGHT", "expected_trials": 1940, "expected_wallclock_h": 0.16, "parallelism_degree": 22.0, "run_id": "c110fe38_20260816T090824052985", "scheduling_efficiency": 0.8, "strategy": null, "study_name": null, "sweep_max_wallclock_h": 72, "symbol": null, "timestamp_utc": "2026-08-16T09:08:24.560+00:00"}
2026-08-16T09:08:28.394+00:00 | ⚠️  WARNING  | optimizer                      | [TrendPullbackStrategy/NATGAS.ETORO] [#565] TrendPullbackStrategy/NATGAS.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-16T09:08:28.664+00:00 | ⚠️  WARNING  | optimizer                      | [SqueezeBreakoutStrategy/NATGAS.ETORO] [#565] SqueezeBreakoutStrategy/NATGAS.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-16T09:08:28.743+00:00 | ⚠️  WARNING  | optimizer                      | [FlashCrashReversalStrategy/NATGAS.ETORO] [#565] FlashCrashReversalStrategy/NATGAS.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-16T09:08:28.776+00:00 | ⚠️  WARNING  | optimizer                      | [HourlyMeanReversionStrategy/NATGAS.ETORO] [#565] HourlyMeanReversionStrategy/NATGAS.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-16T09:08:28.840+00:00 | ⚠️  WARNING  | optimizer                      | [VolatilityBreakoutPumpStrategy/NATGAS.ETORO] [#565] VolatilityBreakoutPumpStrategy/NATGAS.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-16T09:08:28.844+00:00 | ⚠️  WARNING  | optimizer                      | [DynamicBreakoutStrategy/NATGAS.ETORO] [#565] DynamicBreakoutStrategy/NATGAS.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-16T09:08:28.849+00:00 | ⚠️  WARNING  | optimizer                      | [Rsi2ReversionStrategy/NATGAS.ETORO] [#565] Rsi2ReversionStrategy/NATGAS.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-16T09:08:28.874+00:00 | ⚠️  WARNING  | optimizer                      | [SmaCrossoverStrategy/NATGAS.ETORO] [#565] SmaCrossoverStrategy/NATGAS.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-16T09:08:28.882+00:00 | ⚠️  WARNING  | optimizer                      | [ComboTrendVwapStrategy/NATGAS.ETORO] [#565] ComboTrendVwapStrategy/NATGAS.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-16T09:08:28.917+00:00 | ⚠️  WARNING  | optimizer                      | [AdxAtrMomentumStrategy/NATGAS.ETORO] [#565] AdxAtrMomentumStrategy/NATGAS.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-16T09:08:28.946+00:00 | ⚠️  WARNING  | optimizer                      | [OpeningRangeBreakoutStrategy/NATGAS.ETORO] [#565] OpeningRangeBreakoutStrategy/NATGAS.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-16T09:08:28.949+00:00 | ⚠️  WARNING  | optimizer                      | [MeanReversionStrategy/NATGAS.ETORO] [#565] MeanReversionStrategy/NATGAS.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-16T09:08:28.959+00:00 | ⚠️  WARNING  | optimizer                      | [DonchianRegimeBreakoutStrategy/NATGAS.ETORO] [#565] DonchianRegimeBreakoutStrategy/NATGAS.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
