2026-08-18T15:13:33.004+00:00 | ℹ️  INFO     | optimizer                      | [LogManager] Logger 'optimizer' initialisiert. Log-Datei: /home/user/etoro_nautilus/logs/optimizer_fd960d37_20260818T151333003532.log (kein Rotationslimit (pro-Lauf-Datei, Issue #740))
2026-08-18T15:13:33.349+00:00 | ⚠️  WARNING  | optimizer                      | [JSON_EVENT] {"detail": "backtest.json: alle Finanzierungs- UND Slippage-Saetze sind 0.0 fuer jede Asset-Klasse -- die 'full_realism'-Kostenstress-Stufe ist ein No-Op, jede Ertragsaussage dieses Laufs ist ohne Overnight-Finanzierung, ohne Slippage, ohne Market Impact (#1010/#1162).", "event_type": "COST_MODEL_ZERO_REALISM", "overnight_financing_bps_per_day_by_asset_class": {"COMMODITY": 0.0, "CRYPTO": 0.0, "DEFAULT": 0.0, "EQUITY": 0.0, "FOREX": 0.0}, "run_id": "fd960d37_20260818T151333003532", "slippage_bps_by_asset_class": {"COMMODITY": 0.0, "CRYPTO": 0.0, "DEFAULT": 0.0, "EQUITY": 0.0, "FOREX": 0.0}, "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-18T15:13:33.349+00:00"}
2026-08-18T15:13:33.398+00:00 | ℹ️  INFO     | optimizer                      | [#624] Holdout-Geometrie: required_span_days=426 (is=180 + embargo=21 + 4×oos=45 + holdout=45); min_span_days=1111.6, median_span_days=1111.6 (je Symbol, latest-earliest), n_symbols_below_required=0 von 1. 45-d-Holdout ⇒ T≈202 Bars ⇒ PSR(0)≈0.946 < 0.95 (T≥211 nötig). Promotionsschwelle DSR/PSR wird EXPLIZIT und dokumentiert getragen (siehe manuals/strategie_optimierung.md §Holdout-Signifikanz).
2026-08-18T15:13:33.402+00:00 | ℹ️  INFO     | optimizer                      | [JSON_EVENT] {"budget_bytes": 214748364800, "event_type": "DISK_BUDGET_PREFLIGHT", "expected_bytes": 58200000, "expected_trials": 1940, "free_bytes": 848457859072, "run_id": "fd960d37_20260818T151333003532", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-18T15:13:33.402+00:00"}
2026-08-18T15:13:33.405+00:00 | ℹ️  INFO     | optimizer                      | [JSON_EVENT] {"backtest_ms_mean": 4634.059802392096, "backtest_share": 0.85, "event_type": "WALLCLOCK_BUDGET_PREFLIGHT", "expected_trials": 1940, "expected_wallclock_h": 0.17, "parallelism_degree": 22.0, "run_id": "fd960d37_20260818T151333003532", "scheduling_efficiency": 0.8, "strategy": null, "study_name": null, "sweep_max_wallclock_h": 72, "symbol": null, "timestamp_utc": "2026-08-18T15:13:33.405+00:00"}
2026-08-18T15:13:33.738+00:00 | ℹ️  INFO     | optimizer                      | [JSON_EVENT] {"actual": null, "check": "check_wallclock_budget", "detail": "Laufzeit-Budget nicht überschritten.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "elapsed_s <= max_hours*3600 (max_hours=72)", "name": "check_wallclock_budget", "passed": true, "run_id": "fd960d37_20260818T151333003532", "scope": "global", "severity": "high", "source": "sweep", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-18T15:13:33.737+00:00"}
2026-08-18T15:13:33.742+00:00 | ℹ️  INFO     | optimizer                      | [Rsi2ReversionStrategy/TSLA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "fd960d37_20260818T151333003532", "scope": "Rsi2ReversionStrategy", "severity": "medium", "source": "sweep", "strategy": "Rsi2ReversionStrategy", "study_name": "study_Rsi2ReversionStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-18T15:13:33.742+00:00"}
2026-08-18T15:13:33.744+00:00 | ℹ️  INFO     | optimizer                      | [AdxAtrMomentumStrategy/TSLA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "fd960d37_20260818T151333003532", "scope": "AdxAtrMomentumStrategy", "severity": "medium", "source": "sweep", "strategy": "AdxAtrMomentumStrategy", "study_name": "study_AdxAtrMomentumStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-18T15:13:33.743+00:00"}
2026-08-18T15:13:33.745+00:00 | ℹ️  INFO     | optimizer                      | [ComboTrendVwapStrategy/TSLA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "fd960d37_20260818T151333003532", "scope": "ComboTrendVwapStrategy", "severity": "medium", "source": "sweep", "strategy": "ComboTrendVwapStrategy", "study_name": "study_ComboTrendVwapStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-18T15:13:33.745+00:00"}
2026-08-18T15:13:33.752+00:00 | ℹ️  INFO     | optimizer                      | [TrendPullbackStrategy/TSLA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "fd960d37_20260818T151333003532", "scope": "TrendPullbackStrategy", "severity": "medium", "source": "sweep", "strategy": "TrendPullbackStrategy", "study_name": "study_TrendPullbackStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-18T15:13:33.752+00:00"}
2026-08-18T15:13:33.753+00:00 | ℹ️  INFO     | optimizer                      | [FlashCrashReversalStrategy/TSLA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "fd960d37_20260818T151333003532", "scope": "FlashCrashReversalStrategy", "severity": "medium", "source": "sweep", "strategy": "FlashCrashReversalStrategy", "study_name": "study_FlashCrashReversalStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-18T15:13:33.753+00:00"}
