2026-07-28T17:40:21.394+00:00 | ⚠️  WARNING  | optimizer                      | [#531] 2 Symbol(e) unter der Walk-Forward-Schwelle (456 Tage = 426 + Puffer 30) — synchroner Pre-Sweep-Backfill: ['ESLT.ETORO', 'NTSK.ETORO']
2026-07-28T17:40:22.064+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.064+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 250.71, "required_days": 426.0, "delta_days": 175.29}
2026-07-28T17:40:22.065+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.065+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 313.71, "required_days": 426.0, "delta_days": 112.29}
2026-07-28T17:40:22.065+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.065+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 250.71, "required_days": 426.0, "delta_days": 175.29}
2026-07-28T17:40:22.065+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.065+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 313.71, "required_days": 426.0, "delta_days": 112.29}
2026-07-28T17:40:22.065+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.065+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 250.71, "required_days": 426.0, "delta_days": 175.29}
2026-07-28T17:40:22.065+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.065+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 313.71, "required_days": 426.0, "delta_days": 112.29}
2026-07-28T17:40:22.066+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.066+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 250.71, "required_days": 426.0, "delta_days": 175.29}
2026-07-28T17:40:22.066+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.066+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 313.71, "required_days": 426.0, "delta_days": 112.29}
2026-07-28T17:40:22.066+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.066+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 250.71, "required_days": 426.0, "delta_days": 175.29}
2026-07-28T17:40:22.066+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.066+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 313.71, "required_days": 426.0, "delta_days": 112.29}
2026-07-28T17:40:22.066+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.066+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 250.71, "required_days": 426.0, "delta_days": 175.29}
2026-07-28T17:40:22.066+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.066+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 313.71, "required_days": 426.0, "delta_days": 112.29}
2026-07-28T17:40:22.067+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.067+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 250.71, "required_days": 426.0, "delta_days": 175.29}
2026-07-28T17:40:22.067+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.067+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 313.71, "required_days": 426.0, "delta_days": 112.29}
2026-07-28T17:40:22.067+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.067+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 250.71, "required_days": 426.0, "delta_days": 175.29}
2026-07-28T17:40:22.067+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.067+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 313.71, "required_days": 426.0, "delta_days": 112.29}
2026-07-28T17:40:22.067+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.067+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 250.71, "required_days": 426.0, "delta_days": 175.29}
2026-07-28T17:40:22.067+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.067+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 313.71, "required_days": 426.0, "delta_days": 112.29}
2026-07-28T17:40:22.067+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.067+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 250.71, "required_days": 426.0, "delta_days": 175.29}
2026-07-28T17:40:22.067+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.067+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 313.71, "required_days": 426.0, "delta_days": 112.29}
2026-07-28T17:40:22.068+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.068+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 250.71, "required_days": 426.0, "delta_days": 175.29}
2026-07-28T17:40:22.068+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.068+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 313.71, "required_days": 426.0, "delta_days": 112.29}
2026-07-28T17:40:22.068+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.068+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 250.71, "required_days": 426.0, "delta_days": 175.29}
2026-07-28T17:40:22.068+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.068+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 313.71, "required_days": 426.0, "delta_days": 112.29}
2026-07-28T17:40:22.068+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.068+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 250.71, "required_days": 426.0, "delta_days": 175.29}
2026-07-28T17:40:22.068+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.068+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 313.71, "required_days": 426.0, "delta_days": 112.29}
2026-07-28T17:40:22.069+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.069+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 250.71, "required_days": 426.0, "delta_days": 175.29}
2026-07-28T17:40:22.069+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.069+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 313.71, "required_days": 426.0, "delta_days": 112.29}
2026-07-28T17:47:08.856+00:00 | ⚠️  WARNING  | optimizer                      | [SmaCrossoverStrategy/GOOG.ETORO] [#565] SmaCrossoverStrategy/GOOG.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-07-28T17:47:08.922+00:00 | ⚠️  WARNING  | optimizer                      | [VolatilityBreakoutPumpStrategy/GOOG.ETORO] [#565] VolatilityBreakoutPumpStrategy/GOOG.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
