2026-08-06T19:58:48.586+00:00 | ⚠️  WARNING  | optimizer                      | [#531] 3 Symbol(e) unter der Walk-Forward-Schwelle (456 Tage = 426 + Puffer 30) — synchroner Pre-Sweep-Backfill: ['BETA.ETORO', 'ESLT.ETORO', 'NTSK.ETORO']
2026-08-06T19:58:48.714+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.714+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 275.79, "required_days": 426.0, "delta_days": 150.21}
2026-08-06T19:58:48.716+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.716+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 259.79, "required_days": 426.0, "delta_days": 166.21}
2026-08-06T19:58:48.716+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.716+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 322.79, "required_days": 426.0, "delta_days": 103.21}
2026-08-06T19:58:48.716+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.716+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 275.79, "required_days": 426.0, "delta_days": 150.21}
2026-08-06T19:58:48.716+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.716+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 259.79, "required_days": 426.0, "delta_days": 166.21}
2026-08-06T19:58:48.717+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.717+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 322.79, "required_days": 426.0, "delta_days": 103.21}
2026-08-06T19:58:48.717+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.717+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 275.79, "required_days": 426.0, "delta_days": 150.21}
2026-08-06T19:58:48.717+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.717+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 259.79, "required_days": 426.0, "delta_days": 166.21}
2026-08-06T19:58:48.717+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.717+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 322.79, "required_days": 426.0, "delta_days": 103.21}
2026-08-06T19:58:48.717+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.717+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 275.79, "required_days": 426.0, "delta_days": 150.21}
2026-08-06T19:58:48.717+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T19:58:48.717+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "07d5aef0_20260806T195848096997", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 259.79, "required_days": 426.0, "delta_days": 166.21}
