2026-08-07T10:46:52.427+00:00 | ⚠️  WARNING  | optimizer                      | [#531] 3 Symbol(e) unter der Walk-Forward-Schwelle (456 Tage = 426 + Puffer 30) — synchroner Pre-Sweep-Backfill: ['BETA.ETORO', 'ESLT.ETORO', 'NTSK.ETORO']
2026-08-07T10:46:52.706+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"available_days": 275.79, "delta_days": 150.21, "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "event": "GATE_1_REJECTION", "event_type": "GATE_1_REJECTION", "required_days": 426.0, "run_id": "46cf5070_20260807T104651494326", "strategy": null, "study_name": null, "symbol": "BETA.ETORO", "timestamp_utc": "2026-08-07T10:46:52.706+00:00"}
2026-08-07T10:46:52.708+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"available_days": 259.79, "delta_days": 166.21, "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "event": "GATE_1_REJECTION", "event_type": "GATE_1_REJECTION", "required_days": 426.0, "run_id": "46cf5070_20260807T104651494326", "strategy": null, "study_name": null, "symbol": "ESLT.ETORO", "timestamp_utc": "2026-08-07T10:46:52.708+00:00"}
2026-08-07T10:46:52.709+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"available_days": 322.79, "delta_days": 103.21, "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "event": "GATE_1_REJECTION", "event_type": "GATE_1_REJECTION", "required_days": 426.0, "run_id": "46cf5070_20260807T104651494326", "strategy": null, "study_name": null, "symbol": "NTSK.ETORO", "timestamp_utc": "2026-08-07T10:46:52.709+00:00"}
2026-08-07T10:46:52.770+00:00 | ⚠️  WARNING  | optimizer                      | [#931] WALLCLOCK_BUDGET_DEGRADED: expected_wallclock_h=97.3 > sweep_max_wallclock_h=72 — n_trials_budget wird global um Faktor 0.740 gekürzt (wallclock_budget_policy='degrade').
2026-08-07T10:59:10.188+00:00 | ⚠️  WARNING  | optimizer                      | [FlashCrashReversalStrategy/GSAT.ETORO] [#565] FlashCrashReversalStrategy/GSAT.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-07T10:59:10.267+00:00 | ⚠️  WARNING  | optimizer                      | [SmaCrossoverStrategy/GSAT.ETORO] [#565] SmaCrossoverStrategy/GSAT.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-07T10:59:10.488+00:00 | ⚠️  WARNING  | optimizer                      | [VolatilityBreakoutPumpStrategy/GSAT.ETORO] [#565] VolatilityBreakoutPumpStrategy/GSAT.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-07T10:59:10.535+00:00 | ⚠️  WARNING  | optimizer                      | [ComboTrendVwapStrategy/GSAT.ETORO] [#565] ComboTrendVwapStrategy/GSAT.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-07T10:59:10.568+00:00 | ⚠️  WARNING  | optimizer                      | [DynamicBreakoutStrategy/GSAT.ETORO] [#565] DynamicBreakoutStrategy/GSAT.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-07T10:59:10.581+00:00 | ⚠️  WARNING  | optimizer                      | [MeanReversionStrategy/GSAT.ETORO] [#565] MeanReversionStrategy/GSAT.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-07T11:00:00.206+00:00 | ❌ ERROR    | optimizer                      | [FlashCrashReversalStrategy/GSAT.ETORO] [JSON_EVENT] {"code": "SORTINO_GUARD_TRIPPED", "detail": "|sortino_annualized|=28.0796 > guard=25 (n_periods=398, dd_dev=0.00038188).", "event_type": "INFERENCE_DIAGNOSTIC", "guard_reference_source": "absolute_bootstrap", "guard_reference_value": 320.0, "run_id": "46cf5070_20260807T104651494326", "strategy": "FlashCrashReversalStrategy", "study_name": "study_FlashCrashReversalStrategy_GSAT_ETORO", "symbol": "GSAT.ETORO", "timestamp_utc": "2026-08-07T11:00:00.206+00:00", "trial_number": 5, "value": 28.079597954259018}
2026-08-07T11:00:17.866+00:00 | ❌ ERROR    | optimizer                      | [FlashCrashReversalStrategy/GSAT.ETORO] [JSON_EVENT] {"code": "SORTINO_GUARD_TRIPPED", "detail": "|sortino_annualized|=62.3049 > guard=20.1071 (n_periods=207, dd_dev=0.000152899).", "event_type": "INFERENCE_DIAGNOSTIC", "guard_reference_source": "absolute_bootstrap", "guard_reference_value": 320.0, "run_id": "46cf5070_20260807T104651494326", "strategy": "FlashCrashReversalStrategy", "study_name": "study_FlashCrashReversalStrategy_GSAT_ETORO", "symbol": "GSAT.ETORO", "timestamp_utc": "2026-08-07T11:00:17.866+00:00", "trial_number": 7, "value": 62.30491268848442}
2026-08-07T11:01:34.693+00:00 | ❌ ERROR    | optimizer                      | [FlashCrashReversalStrategy/GSAT.ETORO] [JSON_EVENT] {"code": "SORTINO_GUARD_TRIPPED", "detail": "|sortino_annualized|=57.4331 > guard=19.5656 (n_periods=196, dd_dev=0.000157816).", "event_type": "INFERENCE_DIAGNOSTIC", "guard_reference_source": "absolute_bootstrap", "guard_reference_value": 320.0, "run_id": "46cf5070_20260807T104651494326", "strategy": "FlashCrashReversalStrategy", "study_name": "study_FlashCrashReversalStrategy_GSAT_ETORO", "symbol": "GSAT.ETORO", "timestamp_utc": "2026-08-07T11:01:34.693+00:00", "trial_number": 16, "value": 57.43306659533799}
2026-08-07T11:01:44.298+00:00 | ❌ ERROR    | optimizer                      | [FlashCrashReversalStrategy/GSAT.ETORO] [JSON_EVENT] {"code": "SORTINO_GUARD_TRIPPED", "detail": "|sortino_annualized|=25.6161 > guard=18.5405 (n_periods=176, dd_dev=0.000248964).", "event_type": "INFERENCE_DIAGNOSTIC", "guard_reference_source": "absolute_bootstrap", "guard_reference_value": 320.0, "run_id": "46cf5070_20260807T104651494326", "strategy": "FlashCrashReversalStrategy", "study_name": "study_FlashCrashReversalStrategy_GSAT_ETORO", "symbol": "GSAT.ETORO", "timestamp_utc": "2026-08-07T11:01:44.298+00:00", "trial_number": 17, "value": 25.616072997924586}
2026-08-07T11:01:53.396+00:00 | ❌ ERROR    | optimizer                      | [FlashCrashReversalStrategy/GSAT.ETORO] [JSON_EVENT] {"code": "SORTINO_GUARD_TRIPPED", "detail": "|sortino_annualized|=33.3761 > guard=17.1733 (n_periods=151, dd_dev=0.000186346).", "event_type": "INFERENCE_DIAGNOSTIC", "guard_reference_source": "absolute_bootstrap", "guard_reference_value": 320.0, "run_id": "46cf5070_20260807T104651494326", "strategy": "FlashCrashReversalStrategy", "study_name": "study_FlashCrashReversalStrategy_GSAT_ETORO", "symbol": "GSAT.ETORO", "timestamp_utc": "2026-08-07T11:01:53.396+00:00", "trial_number": 18, "value": 33.376101122483036}
2026-08-07T11:02:09.907+00:00 | ❌ ERROR    | optimizer                      | [FlashCrashReversalStrategy/GSAT.ETORO] [JSON_EVENT] {"code": "SORTINO_GUARD_TRIPPED", "detail": "|sortino_annualized|=16.6648 > guard=14.987 (n_periods=115, dd_dev=0.000672835).", "event_type": "INFERENCE_DIAGNOSTIC", "guard_reference_source": "absolute_bootstrap", "guard_reference_value": 320.0, "run_id": "46cf5070_20260807T104651494326", "strategy": "FlashCrashReversalStrategy", "study_name": "study_FlashCrashReversalStrategy_GSAT_ETORO", "symbol": "GSAT.ETORO", "timestamp_utc": "2026-08-07T11:02:09.906+00:00", "trial_number": 20, "value": 16.664806354888896}
2026-08-07T11:02:17.615+00:00 | ❌ ERROR    | optimizer                      | [FlashCrashReversalStrategy/GSAT.ETORO] [JSON_EVENT] {"code": "SORTINO_GUARD_TRIPPED", "detail": "|sortino_annualized|=29.1908 > guard=24.1658 (n_periods=299, dd_dev=0.000383907).", "event_type": "INFERENCE_DIAGNOSTIC", "guard_reference_source": "absolute_bootstrap", "guard_reference_value": 320.0, "run_id": "46cf5070_20260807T104651494326", "strategy": "FlashCrashReversalStrategy", "study_name": "study_FlashCrashReversalStrategy_GSAT_ETORO", "symbol": "GSAT.ETORO", "timestamp_utc": "2026-08-07T11:02:17.615+00:00", "trial_number": 21, "value": 29.190794025761786}
2026-08-07T11:02:37.137+00:00 | ❌ ERROR    | optimizer                      | [FlashCrashReversalStrategy/GSAT.ETORO] [JSON_EVENT] {"code": "SORTINO_GUARD_TRIPPED", "detail": "|sortino_annualized|=39.6848 > guard=17.5112 (n_periods=157, dd_dev=0.000210915).", "event_type": "INFERENCE_DIAGNOSTIC", "guard_reference_source": "absolute_bootstrap", "guard_reference_value": 320.0, "run_id": "46cf5070_20260807T104651494326", "strategy": "FlashCrashReversalStrategy", "study_name": "study_FlashCrashReversalStrategy_GSAT_ETORO", "symbol": "GSAT.ETORO", "timestamp_utc": "2026-08-07T11:02:37.137+00:00", "trial_number": 23, "value": 39.68479309070921}
2026-08-07T11:03:21.947+00:00 | ❌ ERROR    | optimizer                      | [FlashCrashReversalStrategy/GSAT.ETORO] [JSON_EVENT] {"code": "SORTINO_GUARD_TRIPPED", "detail": "|sortino_annualized|=31.9777 > guard=18.9572 (n_periods=184, dd_dev=0.000231525).", "event_type": "INFERENCE_DIAGNOSTIC", "guard_reference_source": "absolute_bootstrap", "guard_reference_value": 320.0, "run_id": "46cf5070_20260807T104651494326", "strategy": "FlashCrashReversalStrategy", "study_name": "study_FlashCrashReversalStrategy_GSAT_ETORO", "symbol": "GSAT.ETORO", "timestamp_utc": "2026-08-07T11:03:21.947+00:00", "trial_number": 28, "value": 31.977718094844988}
2026-08-07T11:03:40.845+00:00 | ❌ ERROR    | optimizer                      | [FlashCrashReversalStrategy/GSAT.ETORO] [JSON_EVENT] {"code": "SORTINO_GUARD_TRIPPED", "detail": "|sortino_annualized|=26.3555 > guard=24.0036 (n_periods=295, dd_dev=0.000476966).", "event_type": "INFERENCE_DIAGNOSTIC", "guard_reference_source": "absolute_bootstrap", "guard_reference_value": 320.0, "run_id": "46cf5070_20260807T104651494326", "strategy": "FlashCrashReversalStrategy", "study_name": "study_FlashCrashReversalStrategy_GSAT_ETORO", "symbol": "GSAT.ETORO", "timestamp_utc": "2026-08-07T11:03:40.844+00:00", "trial_number": 30, "value": 26.355467687320125}
2026-08-07T11:03:50.261+00:00 | ❌ ERROR    | optimizer                      | [FlashCrashReversalStrategy/GSAT.ETORO] [JSON_EVENT] {"code": "SORTINO_GUARD_TRIPPED", "detail": "|sortino_annualized|=31.7954 > guard=25 (n_periods=371, dd_dev=0.000348954).", "event_type": "INFERENCE_DIAGNOSTIC", "guard_reference_source": "absolute_bootstrap", "guard_reference_value": 320.0, "run_id": "46cf5070_20260807T104651494326", "strategy": "FlashCrashReversalStrategy", "study_name": "study_FlashCrashReversalStrategy_GSAT_ETORO", "symbol": "GSAT.ETORO", "timestamp_utc": "2026-08-07T11:03:50.261+00:00", "trial_number": 31, "value": 31.79535517565364}
