symbol,status,n_ticks,span_days,coverage_24_7,coverage_rth,ticks_per_bar_median
01211.HK.ETORO,OK,1736,1086.2,0.0666,,1.0
ABT.US.ETORO,OK,1809,1086.2,0.0694,0.0636,1.0
ACN.ETORO,OK,1808,1086.2,0.0694,0.0636,1.0
ADA.ETORO,OK,2142,1005.2,0.0888,0.0888,1.0
ADBE.ETORO,OK,1811,1086.2,0.0695,0.0631,1.0
AERO.ETORO,OK,1639,502.2,0.136,0.136,1.0
AG.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
AMAT.ETORO,OK,1810,1086.2,0.0694,0.0631,1.0
AMD.ETORO,OK,1810,1086.2,0.0694,0.0631,1.0
AMKR.ETORO,OK,1752,1085.8,0.0672,0.1872,1.0
ARWR.ETORO,OK,1752,1085.8,0.0672,0.1872,1.0
ASML.ETORO,OK,1810,1086.2,0.0694,0.0631,1.0
ASX.ETORO,OK,1751,1085.8,0.0672,0.1869,1.0
ATI.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
ATRO.ETORO,OK,1666,950.8,0.073,0.2138,1.0
AVAX.ETORO,OK,2142,1005.2,0.0888,0.0888,1.0
AXON.ETORO,OK,1794,1086.2,0.0688,0.0708,1.0
AXSM.ETORO,OK,1752,1085.8,0.0672,0.187,1.0
BETA.ETORO,OK,1235,300.8,0.1711,0.6757,1.0
BTC.ETORO,OK,2142,1005.2,0.0888,0.0888,1.0
CAG.ETORO,OK,1776,1086.1,0.0681,0.066,1.0
CAT.ETORO,OK,1811,1086.2,0.0695,0.0631,1.0
CCL.ETORO,OK,1808,1086.2,0.0694,0.0631,1.0
CELH.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
CHTR.ETORO,OK,1798,1086.2,0.069,0.0785,1.0
CHWY.ETORO,OK,1752,1085.8,0.0672,0.187,1.0
CIEN.ETORO,OK,1830,1086.2,0.0702,0.1651,1.0
CMG.ETORO,OK,1805,1086.2,0.0692,0.0644,1.0
COHR.ETORO,OK,1835,1086.2,0.0704,0.1642,1.0
COIN.ETORO,OK,1810,1086.2,0.0694,0.0631,1.0
CPNG.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
CPRT.ETORO,OK,1808,1086.2,0.0694,0.0656,1.0
CRM.ETORO,OK,1811,1086.2,0.0695,0.0631,1.0
CRS.ETORO,OK,1697,1005.8,0.0703,0.2021,1.0
CVE.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
DKNG.ETORO,OK,1806,1086.2,0.0693,0.0631,1.0
DOCU.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
DOGE.ETORO,OK,2143,1005.2,0.0888,0.0888,1.0
DPZ.ETORO,OK,1788,1086.0,0.0686,0.0747,1.0
DUOL.ETORO,OK,1807,1086.2,0.0693,0.0631,1.0
E.ETORO,OK,1752,1085.8,0.0672,0.1872,1.0
EEFT.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
ELF.ETORO,OK,1751,1085.8,0.0672,0.1869,1.0
ENLT.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
ENVA.ETORO,OK,1697,1005.8,0.0703,0.2019,1.0
ESLT.ETORO,OK,1222,284.8,0.1788,0.715,1.0
ETH.ETORO,OK,2143,1005.2,0.0888,0.0888,1.0
FDX.ETORO,OK,1803,1086.1,0.0692,0.0734,1.0
FICO.ETORO,OK,1788,1086.2,0.0686,0.0844,1.0
FISV.ETORO,OK,1805,1086.2,0.0692,0.0642,1.0
FORM.ETORO,OK,1696,1005.8,0.0703,0.2021,1.0
FRO.ETORO,OK,1751,1085.8,0.0672,0.1869,1.0
FSLY.ETORO,OK,1751,1085.8,0.0672,0.1869,1.0
FTI.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
GEV.ETORO,OK,1679,883.2,0.0792,0.0775,1.0
GIS.ETORO,OK,1801,1086.2,0.0691,0.0644,1.0
GLW.ETORO,OK,1811,1086.2,0.0695,0.0631,1.0
GOOG.ETORO,OK,1810,1086.2,0.0694,0.0631,1.0
GOOGL.ETORO,OK,1810,1086.2,0.0694,0.0631,1.0
GSAT.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
GTLB.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
HAL.ETORO,OK,1805,1086.2,0.0692,0.0669,1.0
HUBS.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
HUT.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
HYPE.ETORO,OK,1490,510.2,0.1217,0.1217,1.0
INSM.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
INSW.ETORO,OK,1697,1005.8,0.0703,0.2019,1.0
INTC.ETORO,OK,1691,1079.2,0.0653,0.0653,1.0
INTU.ETORO,OK,1810,1086.2,0.0694,0.0631,1.0
JAZZ.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
JNJ.ETORO,OK,1807,1086.2,0.0693,0.0631,1.0
JOBY.ETORO,OK,1697,1005.8,0.0703,0.2019,1.0
KD.ETORO,OK,1751,1085.8,0.0672,0.1869,1.0
KRYS.ETORO,OK,1697,1005.8,0.0703,0.2021,1.0
LLY.ETORO,OK,1811,1086.2,0.0695,0.0631,1.0
LNTH.ETORO,OK,1715,1078.8,0.0662,0.0662,1.0
LQDA.ETORO,OK,1698,1005.8,0.0703,0.2023,1.0
LRCX.ETORO,OK,1811,1086.2,0.0695,0.0631,1.0
LSCC.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
LULU.ETORO,OK,1811,1086.2,0.0695,0.0631,1.0
MBLY.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
MNDY.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
MOD.ETORO,OK,1697,1005.8,0.0703,0.2019,1.0
MRK.ETORO,OK,1704,1079.2,0.0658,0.0658,1.0
MRVL.ETORO,OK,1810,1086.2,0.0694,0.0631,1.0
MSTR.ETORO,OK,1810,1086.2,0.0694,0.0631,1.0
MTZ.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
MU.ETORO,OK,1810,1086.2,0.0694,0.0631,1.0
NATGAS.ETORO,OK,1850,1086.2,0.071,0.0627,1.0
NFLX.ETORO,OK,1810,1086.2,0.0694,0.0631,1.0
NKE.ETORO,OK,1811,1086.2,0.0695,0.0631,1.0
NOK.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
NOW.ETORO,OK,1810,1086.2,0.0694,0.0631,1.0
NTSK.ETORO,OK,1266,347.8,0.1517,0.5853,1.0
NVDA.ETORO,OK,1810,1086.2,0.0694,0.0631,1.0
NVO.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
NVS.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
